Distance_from_border,ln_effect_size,remaining_biomass,removed_biomass,removed_average,Area,Ratio,removed_biomass_total
14300,0,1,0,0,323458379.6,10296,
14400,0,1,0,0,327982273,10440,
14500,0,1,0,0,332537582.4,10585,
14600,0,1,0,0,337124307.7,10731,
14700,0,1,0,0,341742448.9,10878,
14800,0,1,0,0,346392006,11026,
14900,0,1,0,0,351072979,11175,
15000,0,1,0,0,355785368,11325,
15100,0,1,0,0,360529172.9,11476,
15200,0,1,0,0,365304393.8,11628,
15300,0,1,0,0,370111030.5,11781,
15400,0,1,0,0,374949083.2,11935,
15500,0,1,0,0,379818551.8,12090,
15600,0,1,0,0,384719436.4,12246,
15700,0,1,0,0,389651736.8,12403,
15800,0,1,0,0,394615453.2,12561,
15900,0,1,0,0,399610585.5,12720,
16000,0,1,0,0,404637133.8,12880,
16100,0,1,0,0,409695098,13041,
16200,0,1,0,0,414784478.1,13203,
16300,0,1,0,0,419905274.1,13366,
16400,0,1,0,0,425057486,13530,
16500,0,1,0,0,430241113.9,13695,
16600,0,1,0,0,435456157.7,13861,
16700,0,1,0,0,440702617.4,14028,
16800,0,1,0,0,445980493.1,14196,
16900,0,1,0,0,451289784.7,14365,
17000,0,1,0,0,456630492.2,14535,
17100,0,1,0,0,462002615.6,14706,
17200,0,1,0,0,467406155,14878,
17300,0,1,0,0,472841110.3,15051,
17400,0,1,0,0,478307481.5,15225,
17500,0,1,0,0,483805268.7,15400,
17600,0,1,0,0,489334471.7,15576,
17700,0,1,0,0,494895090.7,15753,
17800,0,1,0,0,500487125.6,15931,
17900,0,1,0,0,506110576.5,16110,
18000,0,1,0,0,511765443.3,16290,
18100,0,1,0,0,517451726,16471,
18200,0,1,0,0,523169424.6,16653,
18300,0,1,0,0,528918539.2,16836,
18400,0,1,0,0,534699069.6,17020,
18500,0,1,0,0,540511016.1,17205,
18600,0,1,0,0,546354378.4,17391,
18700,0,1,0,0,552229156.6,17578,
18800,0,1,0,0,558135350.8,17766,
18900,0,1,0,0,564072961,17955,
19000,0,1,0,0,570041987,18145,
19100,0,1,0,0,576042429,18336,
19200,0,1,0,0,582074286.9,18528,
19300,0,1,0,0,588137560.7,18721,
19400,0,1,0,0,594232250.4,18915,
19500,0,1,0,0,600358356.1,19110,
19600,0,1,0,0,606515877.7,19306,
19700,0,1,0,0,612704815.2,19503,
19800,0,1,0,0,618925168.7,19701,
19900,0,1,0,0,625176938.1,19900,
20000,0,1,0,0,631460123.4,20100,
20100,0,1,0,0,637774724.6,20301,
20200,0,1,0,0,644120741.8,20503,
20300,0,1,0,0,650498174.9,20706,
20400,0,1,0,0,656907023.9,20910,
20500,0,1,0,0,663347288.8,21115,
20600,0,1,0,0,669818969.7,21321,
20700,0,1,0,0,676322066.5,21528,
20800,0,1,0,0,682856579.2,21736,
20900,0,1,0,0,689422507.8,21945,
21000,0,1,0,0,696019852.4,22155,
21100,0,1,0,0,702648612.9,22366,
21200,0,1,0,0,709308789.3,22578,
21300,0,1,0,0,716000381.7,22791,
21400,0,1,0,0,722723390,23005,
21500,0,1,0,0,729477814.2,23220,
21600,0,1,0,0,736263654.3,23436,
21700,0,1,0,0,743080910.4,23653,
21800,0,1,0,0,749929582.3,23871,
21900,0,1,0,0,756809670.2,24090,
22000,0,1,0,0,763721174.1,24310,
22100,0,1,0,0,770664093.9,24531,
22200,0,1,0,0,777638429.5,24753,
22300,0,1,0,0,784644181.2,24976,
22400,0,1,0,0,791681348.7,25200,
22500,0,1,0,0,798749932.2,25425,
22600,0,1,0,0,805849931.6,25651,
22700,0,1,0,0,812981346.9,25878,
22800,0,1,0,0,820144178.1,26106,
22900,0,1,0,0,827338425.3,26335,
23000,0,1,0,0,834564088.4,26565,
23100,0,1,0,0,841821167.5,26796,
23200,0,1,0,0,849109662.4,27028,
23300,0,1,0,0,856429573.3,27261,
23400,0,1,0,0,863780900.1,27495,
23500,0,1,0,0,871163642.8,27730,
23600,0,1,0,0,878577801.5,27966,
23700,0,1,0,0,886023376.1,28203,
23800,0,1,0,0,893500366.6,28441,
23900,0,1,0,0,901008773,28680,
24000,0,1,0,0,908548595.4,28920,
24100,0,1,0,0,916119833.7,29161,
24200,0,1,0,0,923722487.9,29403,
24300,0,1,0,0,931356558.1,29646,
24400,0,1,0,0,939022044.2,29890,
24500,0,1,0,0,946718946.2,30135,
24600,0,1,0,0,954447264.1,30381,
24700,0,1,0,0,962206997.9,30628,
24800,0,1,0,0,969998147.7,30876,
24900,0,1,0,0,977820713.4,31125,
25000,0,1,0,0,985674695.1,31375,
25100,0,1,0,0,993560092.6,31626,
25200,0,1,0,0,1001476906,31878,
25300,0,1,0,0,1009425136,32131,
25400,0,1,0,0,1017404781,32385,
25500,0,1,0,0,1025415842,32640,
25600,0,1,0,0,1033458319,32896,
25700,0,1,0,0,1041532212,33153,
25800,0,1,0,0,1049637521,33411,
25900,0,1,0,0,1057774246,33670,
26000,0,1,0,0,1065942387,33930,
26100,0,1,0,0,1074141944,34191,
26200,0,1,0,0,1082372917,34453,
26300,0,1,0,0,1090635306,34716,
26400,0,1,0,0,1098929110,34980,
26500,0,1,0,0,1107254331,35245,
26600,0,1,0,0,1115610967,35511,
26700,0,1,0,0,1123999020,35778,
26800,0,1,0,0,1132418488,36046,
26900,0,1,0,0,1140869372,36315,
27000,0,1,0,0,1149351672,36585,
27100,0,1,0,0,1157865388,36856,
27200,0,1,0,0,1166410520,37128,
27300,0,1,0,0,1174987068,37401,
27400,0,1,0,0,1183595032,37675,
27500,0,1,0,0,1192234412,37950,
27600,0,1,0,0,1200905208,38226,
27700,0,1,0,0,1209607419,38503,
27800,0,1,0,0,1218341047,38781,
27900,0,1,0,0,1227106090,39060,
28000,0,1,0,0,1235902550,39340,
28100,0,1,0,0,1244730425,39621,
28200,0,1,0,0,1253589717,39903,
28300,0,1,0,0,1262480424,40186,
28400,0,1,0,0,1271402547,40470,
28500,0,1,0,0,1280356086,40755,
28600,0,1,0,0,1289341041,41041,
28700,0,1,0,0,1298357412,41328,
28800,0,1,0,0,1307405199,41616,
28900,0,1,0,0,1316484401,41905,
29000,0,1,0,0,1325595020,42195,
29100,0,1,0,0,1334737055,42486,
29200,0,1,0,0,1343910505,42778,
29300,0,1,0,0,1353115372,43071,
29400,0,1,0,0,1362351654,43365,
29500,0,1,0,0,1371619353,43660,
29600,0,1,0,0,1380918467,43956,
29700,0,1,0,0,1390248997,44253,
29800,0,1,0,0,1399610943,44551,
29900,0,1,0,0,1409004305,44850,
30000,0,1,0,0,1418429083,45150,
30100,0,1,0,0,1427885277,45451,
30200,0,1,0,0,1437372887,45753,
30300,0,1,0,0,1446891913,46056,
30400,0,1,0,0,1456442354,46360,
30500,0,1,0,0,1466024212,46665,
30600,0,1,0,0,1475637485,46971,
30700,0,1,0,0,1485282175,47278,
30800,0,1,0,0,1494958280,47586,
30900,0,1,0,0,1504665801,47895,
31000,0,1,0,0,1514404739,48205,
31100,0,1,0,0,1524175092,48516,
31200,0,1,0,0,1533976861,48828,
31300,0,1,0,0,1543810046,49141,
31400,0,1,0,0,1553674647,49455,
31500,0,1,0,0,1563570664,49770,
31600,0,1,0,0,1573498096,50086,
31700,0,1,0,0,1583456945,50403,
31800,0,1,0,0,1593447210,50721,
31900,0,1,0,0,1603468890,51040,
32000,0,1,0,0,1613521987,51360,
32100,0,1,0,0,1623606499,51681,
32200,0,1,0,0,1633722428,52003,
32300,0,1,0,0,1643869772,52326,
32400,0,1,0,0,1654048532,52650,
32500,0,1,0,0,1664258708,52975,
32600,0,1,0,0,1674500300,53301,
32700,0,1,0,0,1684773308,53628,
32800,0,1,0,0,1695077732,53956,
32900,0,1,0,0,1705413572,54285,
33000,0,1,0,0,1715780828,54615,
33100,0,1,0,0,1726179499,54946,
33200,0,1,0,0,1736609587,55278,
33300,0,1,0,0,1747071091,55611,
33400,0,1,0,0,1757564010,55945,
33500,0,1,0,0,1768088345,56280,
33600,0,1,0,0,1778644097,56616,
33700,0,1,0,0,1789231264,56953,
33800,0,1,0,0,1799849847,57291,
33900,0,1,0,0,1810499846,57630,
34000,0,1,0,0,1821181261,57970,
34100,0,1,0,0,1831894092,58311,
34200,0,1,0,0,1842638339,58653,
34300,0,1,0,0,1853414002,58996,
34400,0,1,0,0,1864221081,59340,
34500,0,1,0,0,1875059575,59685,
34600,0,1,0,0,1885929486,60031,
34700,0,1,0,0,1896830812,60378,
34800,0,1,0,0,1907763555,60726,
34900,0,1,0,0,1918727713,61075,
35000,0,1,0,0,1929723287,61425,
35100,0,1,0,0,1940750278,61776,
35200,0,1,0,0,1951808684,62128,
35300,0,1,0,0,1962898506,62481,
35400,0,1,0,0,1974019744,62835,
35500,0,1,0,0,1985172398,63190,
35600,0,1,0,0,1996356468,63546,
35700,0,1,0,0,2007571953,63903,
35800,0,1,0,0,2018818855,64261,
35900,0,1,0,0,2030097173,64620,
36000,0,1,0,0,2041406906,64980,
36100,0,1,0,0,2052748056,65341,
36200,0,1,0,0,2064120621,65703,
36300,0,1,0,0,2075524603,66066,
36400,0,1,0,0,2086960000,66430,
36500,0,1,0,0,2098426813,66795,
36600,0,1,0,0,2109925042,67161,
36700,0,1,0,0,2121454687,67528,
36800,0,1,0,0,2133015748,67896,
36900,0,1,0,0,2144608225,68265,
37000,0,1,0,0,2156232118,68635,
37100,0,1,0,0,2167887427,69006,
37200,0,1,0,0,2179574151,69378,
37300,0,1,0,0,2191292292,69751,
37400,0,1,0,0,2203041848,70125,
37500,0,1,0,0,2214822821,70500,
37600,0,1,0,0,2226635209,70876,
37700,0,1,0,0,2238479013,71253,
37800,0,1,0,0,2250354234,71631,
37900,0,1,0,0,2262260870,72010,
38000,0,1,0,0,2274198922,72390,
38100,0,1,0,0,2286168390,72771,
38200,0,1,0,0,2298169274,73153,
38300,0,1,0,0,2310201574,73536,
38400,0,1,0,0,2322265290,73920,
38500,0,1,0,0,2334360421,74305,
38600,0,1,0,0,2346486969,74691,
38700,0,1,0,0,2358644932,75078,
38800,0,1,0,0,2370834312,75466,
38900,0,1,0,0,2383055107,75855,
39000,0,1,0,0,2395307319,76245,
39100,0,1,0,0,2407590946,76636,
39200,0,1,0,0,2419905989,77028,
39300,0,1,0,0,2432252448,77421,
39400,0,1,0,0,2444630323,77815,
39500,0,1,0,0,2457039614,78210,
39600,0,1,0,0,2469480321,78606,
39700,0,1,0,0,2481952444,79003,
39800,0,1,0,0,2494455983,79401,
39900,0,1,0,0,2506990938,79800,
40000,0,1,0,0,2519557308,80200,
40100,0,1,0,0,2532155095,80601,
40200,0,1,0,0,2544784297,81003,
40300,0,1,0,0,2557444916,81406,
40400,0,1,0,0,2570136950,81810,
40500,0,1,0,0,2582860400,82215,
40600,0,1,0,0,2595615266,82621,
40700,0,1,0,0,2608401548,83028,
40800,0,1,0,0,2621219246,83436,
40900,0,1,0,0,2634068360,83845,
41000,0,1,0,0,2646948890,84255,
41100,0,1,0,0,2659860836,84666,
41200,0,1,0,0,2672804198,85078,
41300,0,1,0,0,2685778975,85491,
41400,0,1,0,0,2698785169,85905,
